date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2012-06-30_Q2,12834000000,9488000000,3346000000,0.260714,1082000000,2125000000,537000000,32000000,3239000000,12727000000,21000000,485000000,622000000,0.048465,107000000,0.008337,50000000,146000000,0.011376,109000000,7000000,0.000545,0.02,0.02,458000000,458000000
2012-03-31_Q1,13185000000,10027000000,3158000000,0.239515,945000000,1975000000,480000000,46000000,2966000000,12993000000,21000000,457000000,651000000,0.049374,192000000,0.014562,-99000000,84000000,0.006371,43000000,130000000,0.00986,0.28,0.28,460000000,460000000
2011-12-31_Q4,17431000000,13830000000,3601000000,0.206586,862000000,2436000000,593000000,43000000,3341000000,17171000000,20000000,359000000,642000000,0.036831,260000000,0.014916,19000000,273000000,0.015662,86000000,177000000,0.010154,0.38,0.38,462000000,462000000
2011-09-30_Q3,10876000000,8325000000,2551000000,0.234553,769000000,1666000000,370000000,37000000,2472000000,10797000000,18000000,278000000,426000000,0.039169,79000000,0.007264,52000000,130000000,0.011953,67000000,63000000,0.005793,0.14,0.14,461000000,461000000
2011-06-30_Q2,9913000000,7525000000,2388000000,0.240896,698000000,1448000000,340000000,41000000,2187000000,9712000000,15000000,244000000,499000000,0.050338,201000000,0.020276,23000000,225000000,0.022697,49000000,191000000,0.019268,0.42,0.42,460000000,460000000
2011-03-31_Q1,9857000000,7608000000,2249000000,0.228163,579000000,1315000000,327000000,33000000,1927000000,9535000000,12000000,202000000,504000000,0.051131,322000000,0.032667,-18000000,307000000,0.031145,89000000,201000000,0.020392,0.44,0.44,459000000,459000000
2010-12-31_Q4,12948000000,10317000000,2631000000,0.203197,519000000,1609000000,376000000,29000000,2157000000,12474000000,11000000,169000000,680000000,0.052518,474000000,0.036608,29000000,506000000,0.039079,84000000,416000000,0.032129,0.91,0.91,458000000,458000000
2010-09-30_Q3,7560000000,5786000000,1774000000,0.234656,442000000,1038000000,241000000,26000000,1506000000,7292000000,12000000,150000000,472000000,0.062434,268000000,0.03545,22000000,292000000,0.038624,79000000,231000000,0.030556,0.51,0.51,456000000,456000000
2010-06-30_Q2,6566000000,4957000000,1609000000,0.24505,408000000,906000000,211000000,25000000,1339000000,6296000000,9000000,130000000,434000000,0.066098,270000000,0.041121,24000000,297000000,0.045233,88000000,207000000,0.031526,0.45,0.45,455000000,455000000
2010-03-31_Q1,7131000000,5501000000,1630000000,0.228579,366000000,844000000,201000000,26000000,1236000000,6737000000,7000000,119000000,525000000,0.073622,394000000,0.055252,3000000,401000000,0.056233,100000000,299000000,0.04193,0.66,0.66,454000000,454000000
2009-12-31_Q4,9519000000,7543000000,1976000000,0.207585,350000000,1129000000,274000000,21000000,1500000000,9043000000,-8000000,112000000,573000000,0.060195,476000000,0.050005,-6000000,471000000,0.04948,85000000,384000000,0.04034,1.08,1.08,450000000,450000000
2009-09-30_Q3,5449000000,4176000000,1273000000,0.233621,315000000,698000000,149000000,9000000,1022000000,5198000000,-7000000,95000000,347000000,0.063681,251000000,0.046063,1000000,262000000,0.048082,60000000,199000000,0.03652,0.45,0.45,441000000,441000000
2009-06-30_Q2,4651000000,3518000000,1133000000,0.243604,299000000,615000000,129000000,60000000,974000000,4492000000,-7000000,84000000,258000000,0.055472,159000000,0.034186,3000000,179000000,0.038486,39000000,142000000,0.030531,0.32,0.32,440000000,440000000
