date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2012-06-30_Q2,26700000,21900000,4800000,0.179775,74900000,36100000,0,691000,110900000,132800000,84000,4300000,-101116000,-3.787116,-106200000,-3.977528,700000,-105500000,-3.951311,100000,-105600000,-3.955056,-1,-1,105200000,105200000
2012-03-31_Q1,30200000,20000000,10200000,0.337748,68400000,30600000,0,-1076000,98900000,118900000,65000,4200000,-85535000,-2.832285,-88800000,-2.940397,-1100000,-89800000,-2.97351,100000,-89900000,-2.976821,-0.86,-0.86,104800000,104800000
2011-12-31_Q4,39400000,31500000,7800000,0.19797,61200000,27600000,0,-496000,88800000,120300000,43000,4800000,-76557000,-1.943071,-80900000,-2.053299,-500000,-81400000,-2.06599,100000,-81500000,-2.068528,-0.78,-0.78,104400000,104400000
2011-09-30_Q3,57700000,40400000,17200000,0.298094,54100000,27600000,0,-594000,81700000,122100000,100000,4300000,-60600000,-1.05026,-64500000,-1.117851,-600000,-65000000,-1.126516,100000,-65100000,-1.12825,-0.63,-0.63,104100000,104100000
2011-06-30_Q2,58200000,39700000,18500000,0.317869,52500000,22300000,0,-71000,77200000,116900000,0,4300000,-54500000,-0.936426,-58700000,-1.008591,-100000,-58800000,-1.010309,100000,-58900000,-1.012027,-0.59,-0.59,97800000,97800000
2011-03-31_Q1,49000000,31000000,18000000,0.367347,41200000,24200000,0,-1485000,65400000,96400000,0,3500000,-45200000,-0.922449,-47300000,-0.965306,-1500000,-48800000,-0.995918,200000,-48900000,-0.997959,-0.51,-0.51,95200000,95200000
2010-12-31_Q4,36300000,25000000,11300000,0.311295,37600000,25300000,0,187000,62900000,87900000,100000,2900000,-48400000,-1.333333,-51600000,-1.421488,200000,-51400000,-1.415978,0,-51400000,-1.415978,-0.54,-0.54,94200000,94200000
2010-09-30_Q3,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
2010-06-30_Q2,28400000,22100000,6300000,0.221831,15400000,22200000,0,0,37700000,59800000,-400000,2500000,-36400000,-1.28169,-31400000,-1.105634,-6700000,-38500000,-1.355634,0,-38500000,-1.355634,-5.04,-5.04,7600000,7600000
2010-03-31_Q1,20800000,17000000,3900000,0.1875,13300000,16600000,0,0,29800000,46800000,-200000,2100000,-27500000,-1.322115,-26000000,-1.25,-3200000,-29400000,-1.413462,100000,-29500000,-1.418269,-4.04,-4.04,7300000,7300000
2009-12-31_Q4,18600000,16800000,1800000,0.096774,8100000,16600000,0,0,24700000,41500000,0,1900000,-22100000,-1.188172,-22900000,-1.231183,-1100000,-24000000,-1.290323,200000,-24200000,-1.301075,-3.43,-3.43,7100000,7100000
2009-09-30_Q3,45500000,37800000,7700000,0.169231,1300000,10700000,0,0,12000000,49800000,0,1900000,-2900000,-0.063736,-4300000,-0.094505,-600000,-4800000,-0.105495,-200000,-4600000,-0.101099,-0.66,-0.66,7000000,7000000
2009-06-30_Q2,26900000,24800000,2100000,0.078067,1900000,8200000,0,0,10200000,35000000,-1100000,1700000,-10300000,-0.3829,-8100000,-0.301115,-1700000,-10900000,-0.405204,0,-10900000,-0.405204,-1.56,-1.56,7000000,7000000
2009-03-31_Q1,20900000,22900000,-2000000,-0.095694,7900000,6600000,0,0,14600000,37500000,-1400000,1400000,-16000000,-0.76555,-16600000,-0.794258,2000000,-16000000,-0.76555,0,-16000000,-0.76555,-2.31,-2.31,6900000,6900000
2008-12-31_Q4,14200000,15300000,-1100000,-0.077465,8100000,9700000,0,0,22100000,37400000,-1100000,1300000,-25300000,-1.78169,-23200000,-1.633803,-1200000,-25500000,-1.795775,0,-25500000,-1.795775,-3.42,-3.42,6600000,6600000
