date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2008-12-31_Q4,335800000,54700000,281100000,0.837105,0,213600000,0,22400000,258300000,313000000,-3416000,22400000,37084000,0.110435,22800000,0.067898,-1500000,18200000,0.054199,7100000,11000000,0.032758,0.13,0.13,83900000,83900000
2008-09-30_Q3,415900000,86000000,329900000,0.79322,0,237900000,0,27400000,287400000,373400000,-10592000,22000000,49708000,0.119519,42400000,0.101948,-800000,38300000,0.092089,14900000,23400000,0.056264,0.28,0.28,83900000,83900000
2008-06-30_Q2,417800000,90900000,327000000,0.782671,0,234200000,0,28200000,284000000,374900000,-3584000,21500000,57116000,0.136707,43000000,0.10292,-500000,39200000,0.093825,15300000,23900000,0.057204,0.28,0.28,83900000,83900000
2008-03-31_Q1,368200000,73600000,294600000,0.800109,0,228300000,0,24300000,273700000,347300000,-3424000,21200000,34776000,0.094449,20800000,0.056491,-700000,17000000,0.046171,6600000,10400000,0.028246,0.12,0.12,83900000,83900000
2007-12-31_Q4,358700000,68700000,290000000,0.808475,0,214900000,0,24100000,259800000,328500000,-3506000,20800000,42794000,0.119303,30200000,0.084193,-1600000,25500000,0.07109,9800000,15700000,0.043769,0.19,0.19,83900000,83900000
2007-09-30_Q3,363300000,62300000,301000000,0.828516,0,220500000,0,25900000,267000000,329300000,-3544000,20600000,48356000,0.133102,34000000,0.093587,600000,31300000,0.086155,11300000,20000000,0.055051,0.24,0.24,83900000,83900000
2007-06-30_Q2,359600000,58400000,301200000,0.837597,0,213100000,0,27400000,260600000,319000000,-3666000,20100000,53634000,0.149149,40700000,0.113181,0,37300000,0.103726,14700000,22500000,0.06257,0.27,0.27,83900000,83900000
2007-03-31_Q1,319900000,49500000,270500000,0.845577,0,203300000,0,23700000,245400000,294900000,-3750000,18400000,36450000,0.113942,25000000,0.078149,-300000,21800000,0.068146,8200000,13600000,0.042513,0.16,0.16,83900000,83900000
2006-12-31_Q4,319400000,49600000,269800000,0.844709,0,196500000,0,23800000,238200000,287800000,-3921000,17800000,42279000,0.13237,31600000,0.098936,-100000,28400000,0.088917,10600000,17800000,0.055729,0.21,0.21,83900000,83900000
2006-09-30_Q3,337600000,56300000,281300000,0.833235,0,202200000,0,25000000,244600000,300900000,-4494000,17500000,46206000,0.136866,36700000,0.108709,-400000,33200000,0.098341,13100000,20100000,0.059538,0.24,0.24,83900000,83900000
2006-06-30_Q2,330800000,52900000,277900000,0.840085,0,195800000,0,26700000,239300000,292200000,-2417000,16800000,50383000,0.152307,38600000,0.116687,-200000,36000000,0.108827,14400000,21600000,0.065296,0.26,0.26,83900000,83900000
2006-03-31_Q1,291600000,45600000,246100000,0.843964,0,184400000,0,22500000,222400000,268000000,-1611000,15500000,35589000,0.122047,23600000,0.080933,-300000,21700000,0.074417,8700000,13000000,0.044582,0.16,0.16,83900000,83900000
2005-12-31_Q4,285200000,45400000,239800000,0.840813,0,178000000,0,20300000,213500000,258900000,-1622000,55900000,78878000,0.276571,26300000,0.092216,-100000,24600000,0.086255,9900000,14700000,0.051543,0.18,0.18,83900000,83900000
2005-09-30_Q3,275100000,41900000,233100000,0.847328,0,169000000,0,20700000,204400000,246300000,-1767000,0,24933000,0.090632,28800000,0.104689,-300000,26700000,0.097056,10800000,15900000,0.057797,0.19,0.19,83900000,83900000
2005-06-30_Q2,264300000,37600000,226700000,0.857737,0,166000000,0,21900000,201500000,239100000,-1705000,0,21595000,0.081706,25300000,0.095725,-300000,23300000,0.088157,9400000,13900000,0.052592,0.17,0.17,83900000,83900000
2005-03-31_Q1,236800000,33100000,203700000,0.86022,0,155100000,0,19000000,186400000,219500000,-1433000,0,13767000,0.058138,17200000,0.072635,-200000,15700000,0.066301,6300000,8900000,0.037584,0.11,0.11,83900000,83900000
2004-12-31_Q4,224000000,30500000,193600000,0.864286,0,143600000,0,18900000,174200000,204700000,-1220000,11800000,28380000,0.126696,19300000,0.086161,-300000,17800000,0.079464,7200000,10600000,0.047321,0.13,0.13,83900000,83900000
