,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1984-07-30 16:00:00,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-31 16:00:00,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-01 16:00:00,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-02 16:00:00,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-03 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-06 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-07 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-08 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-09 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-10 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-13 16:00:00,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-14 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-15 16:00:00,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-16 16:00:00,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-17 16:00:00,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-20 16:00:00,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-21 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-22 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-23 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-24 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-27 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-28 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-29 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-30 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-31 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-04 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-05 16:00:00,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-06 16:00:00,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-07 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-10 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-11 16:00:00,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-12 16:00:00,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-13 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-14 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-17 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-18 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-19 16:00:00,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-20 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-21 16:00:00,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-24 16:00:00,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-25 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-26 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-27 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-28 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-01 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-02 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-03 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-04 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-05 16:00:00,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-08 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-09 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-10 16:00:00,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-11 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-12 16:00:00,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-15 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-16 16:00:00,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-17 16:00:00,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-18 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-19 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-22 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-23 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-24 16:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-25 16:00:00,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-26 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-29 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-30 16:00:00,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-31 16:00:00,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-01 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-02 16:00:00,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-05 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-06 16:00:00,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-07 16:00:00,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-08 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-09 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-12 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-13 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-14 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-15 16:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-16 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-19 16:00:00,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-20 16:00:00,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-21 16:00:00,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-23 16:00:00,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
